категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 286 Ру40,Краны шаровые стальные 50 Кран шаровой стальной фланцевый 286 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 286 Ру40, размер 50",50,2855,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 286 ру40;50,Кран шаровой стальной фланцевый 286 Ру40,50,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру16,Краны шаровые стальные 65 Кран шаровой стальной фланцевый 293 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру16, размер 65",65,5200,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру16;65,Кран шаровой стальной фланцевый 293 Ру16,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру16,Краны шаровые стальные 80 Кран шаровой стальной фланцевый 293 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру16, размер 80",80,6715,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру16;80,Кран шаровой стальной фланцевый 293 Ру16,80,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру16,Краны шаровые стальные 150 Кран шаровой стальной фланцевый 293 Ру16,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру16, размер 150",150,26310,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру16;150,Кран шаровой стальной фланцевый 293 Ру16,150,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру40,Краны шаровые стальные 25 Кран шаровой стальной фланцевый 293 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру40, размер 25",25,2305,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру40;25,Кран шаровой стальной фланцевый 293 Ру40,25,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру40,Краны шаровые стальные 32 Кран шаровой стальной фланцевый 293 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру40, размер 32",32,2415,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру40;32,Кран шаровой стальной фланцевый 293 Ру40,32,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной фланцевый 293 Ру40,Краны шаровые стальные 40 Кран шаровой стальной фланцевый 293 Ру40,"Краны шаровые стальные марки Кран шаровой стальной фланцевый 293 Ру40, размер 40",40,2934,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной фланцевый 293 ру40;40,Кран шаровой стальной фланцевый 293 Ру40,40,,шт
Трубопроводная арматура,Краны шаровые стальные,Краны МАРШАЛ 16,Краны шаровые стальные 65 Краны МАРШАЛ 16,"Краны шаровые стальные марки Краны МАРШАЛ 16, размер 65",65,3100,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;краны маршал 16;65,Краны МАРШАЛ 16,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Краны МАРШАЛ 16,Краны шаровые стальные 65 Краны МАРШАЛ 16,"Краны шаровые стальные марки Краны МАРШАЛ 16, размер 65",65,4370,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;краны маршал 16;65,Краны МАРШАЛ 16,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Краны МАРШАЛ 16,Краны шаровые стальные 80 Краны МАРШАЛ 16,"Краны шаровые стальные марки Краны МАРШАЛ 16, размер 80",80,4590,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;краны маршал 16;80,Краны МАРШАЛ 16,80,,шт
