категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 120 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 120",120,507915,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;120,Анкер клиновой 8,120,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 120 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 120",120,763859,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;120,Анкер клиновой 8,120,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 130 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 130",130,471819,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;130,Анкер клиновой 8,130,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 150 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 150",150,588074,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;150,Анкер клиновой 8,150,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 160 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 160",160,212346,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;160,Анкер клиновой 8,160,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 50 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 50",50,255648,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;50,Анкер клиновой 8,50,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 70 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 70",70,32488,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;70,Анкер клиновой 8,70,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 75 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 75",75,328167,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;75,Анкер клиновой 8,75,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 80 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 80",80,364391,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;80,Анкер клиновой 8,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 90 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 90",90,379899,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;90,Анкер клиновой 8,90,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 8,Анкерная техника 95 Анкер клиновой 8,"Анкерная техника марки Анкер клиновой 8, размер 95",95,388742,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 8;95,Анкер клиновой 8,95,,тыс.шт
Инженерные системы,Анкерная техника,Анкер латунный (цанга) 16,Анкерная техника 45 Анкер латунный (цанга) 16,"Анкерная техника марки Анкер латунный (цанга) 16, размер 45",45,392423,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер латунный (цанга) 16;45,Анкер латунный (цанга) 16,45,,тыс.шт
Инженерные системы,Анкерная техника,Анкер латунный (цанга) 6,Анкерная техника 23 Анкер латунный (цанга) 6,"Анкерная техника марки Анкер латунный (цанга) 6, размер 23",23,336982,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер латунный (цанга) 6;23,Анкер латунный (цанга) 6,23,,тыс.шт
Инженерные системы,Анкерная техника,Анкер рамный 10,Анкерная техника 112 Анкер рамный 10,"Анкерная техника марки Анкер рамный 10, размер 112",112,466916,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер рамный 10;112,Анкер рамный 10,112,,тыс.шт
Инженерные системы,Анкерная техника,Анкер рамный 10,Анкерная техника 132 Анкер рамный 10,"Анкерная техника марки Анкер рамный 10, размер 132",132,545565,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер рамный 10;132,Анкер рамный 10,132,,тыс.шт
